weight(kg),fsr value,fsr value,fsr value,fsr value,fsr value,fsr value,fsr value,fsr value,fsr value,fsr value,fsr value,fsr value,fsr value,fsr value,fsr value,fsr value,fsr value,fsr value,fsr value,fsr value,
8,648,633,627,636,659,645,630,651,675,631,660,677,679,632,644,659,649,667,640,667,
14,1068,1066,1091,1067,1063,1068,1071,1086,1071,1086,1059,1085,1072,1065,1115,1076,1072,1080,1065,1083,
16,1061,1081,1095,1039,1113,1117,1102,1131,1080,1088,1121,1111,1127,1071,1076,1118,1115,1113,1094,1094,
22,1315,1309,1023,1209,1336,1261,1190,1200,1177,1124,1072,1084,1136,1235,1235,1205,1212,1267,1301,1291,
27,1297,1295,1216,1127,1063,1079,1150,1235,1273,1268,1213,1177,1148,1171,1148,1171,1215,1239,1260,1249,
30,1449,1611,1664,1687,1646,1533,1507,1573,1716,1688,1704,1723,1728,1751,1752,1769,1766,1769,1761,1753,
38,1819,1787,1815,1817,1807,1813,1821,1825,1816,1821,1805,1831,1811,1825,1805,1817,1826,1816,1807,1813,
43,1991,1976,1972,1977,2005,1968,1973,1977,2002,2008,1981,1996,1977,1984,2015,2031,2026,2024,2023,2004,
48.5,2203,2195,2203,2199,2223,2184,2195,2174,2169,2188,2171,2163,2036,1834,2011,2068,2051,1920,2001,2018,
53.5,2041,2087,2116,2040,2027,2022,2009,2016,2037,2057,2085,2079,2097,2108,2137,2141,2129,2147,2141,2121,
61.5,2273,2261,2112,2283,2256,2089,2076,2183,2204,2102,2116,2263,2237,2227,2125,2259,2251,2224,2235,2226,
